iter	Passed	Remaining
0	128	25583
1	130	12894
2	131	8642
3	133	6521
4	134	5246
5	135	4395
6	137	3786
7	138	3331
8	140	2974
9	141	2691
10	143	2457
11	144	2265
12	146	2100
13	147	1959
14	149	1838
15	150	1732
16	152	1637
17	153	1552
18	155	1477
19	156	1407
20	157	1345
21	159	1289
22	160	1237
23	162	1189
24	163	1144
25	165	1106
26	166	1069
27	168	1033
28	169	1001
29	171	971
30	173	944
31	174	918
32	176	892
33	177	868
34	179	847
35	181	825
36	182	805
37	184	785
38	185	767
39	187	750
40	189	733
41	190	718
42	192	702
43	193	687
44	195	673
45	196	659
46	198	645
47	199	632
48	201	620
49	202	608
50	204	596
51	205	585
52	207	574
53	208	564
54	210	555
55	212	545
56	213	535
57	215	526
58	216	518
59	218	509
60	219	500
61	221	493
62	223	485
63	224	477
64	226	469
65	227	462
66	229	455
67	230	448
68	232	441
69	233	434
70	235	427
71	237	421
72	239	415
73	241	410
74	242	404
75	244	398
76	246	393
77	248	387
78	249	382
79	251	376
80	252	371
81	254	365
82	255	360
83	257	354
84	258	350
85	260	345
86	262	340
87	263	335
88	265	330
89	266	325
90	268	321
91	269	316
92	271	312
93	273	307
94	274	303
95	276	299
96	278	295
97	279	291
98	281	287
99	283	283
100	284	279
101	286	275
102	287	271
103	289	267
104	290	263
105	292	259
106	293	255
107	295	251
108	296	247
109	298	244
110	299	240
111	301	236
112	303	233
113	304	229
114	306	226
115	308	223
116	309	219
117	311	216
118	312	212
119	314	209
120	315	206
121	317	202
122	318	199
123	320	196
124	322	193
125	323	190
126	325	187
127	327	184
128	328	180
129	329	177
130	331	174
131	332	171
132	333	168
133	335	165
134	336	162
135	338	159
136	339	156
137	340	153
138	342	150
139	344	147
140	345	144
141	347	141
142	348	139
143	350	136
144	351	133
145	353	130
146	354	127
147	355	124
148	357	122
149	358	119
150	359	116
151	360	113
152	362	111
153	363	108
154	364	105
155	365	103
156	367	100
157	368	97
158	369	95
159	370	92
160	372	90
161	373	87
162	374	85
163	375	82
164	377	80
165	378	77
166	379	75
167	380	72
168	381	70
169	383	67
170	384	65
171	385	62
172	387	60
173	389	58
174	390	55
175	391	53
176	392	51
177	394	48
178	395	46
179	397	44
180	398	41
181	399	39
182	401	37
183	402	34
184	403	32
185	405	30
186	407	28
187	408	26
188	409	23
189	411	21
190	412	19
191	413	17
192	415	15
193	416	12
194	417	10
195	418	8
196	420	6
197	421	4
198	422	2
199	423	0
